epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,29.3292,0.49597,0.81034,1,0.3759,0.00028339,0.00028339,0.00028339
2,35.9695,0.21509,0.98276,1,0.06557,0.000577674,0.000577674,0.000577674
3,40.384,0.11763,0.98276,1,0.18415,0.000866017,0.000866017,0.000866017
4,44.4408,0.09572,0.98276,1,0.03578,0.00114842,0.00114842,0.00114842
5,48.2703,0.20835,0.96552,1,0.05172,0.00142488,0.00142488,0.00142488
6,52.0643,0.32364,0.94828,1,0.20696,0.00158448,0.00158448,0.00158448
7,55.7039,0.18481,0.94828,1,0.18489,0.00156798,0.00156798,0.00156798
8,59.4049,0.14673,0.98276,1,0.03088,0.00155148,0.00155148,0.00155148
9,63.0113,0.20609,0.98276,1,0.08573,0.00153497,0.00153497,0.00153497
10,66.6636,0.21873,0.94828,1,0.15947,0.00151847,0.00151847,0.00151847
11,70.2296,0.21085,0.94828,1,0.26071,0.00150197,0.00150197,0.00150197
12,73.925,0.13404,0.96552,1,0.11249,0.00148546,0.00148546,0.00148546
13,77.6362,0.1938,0.93103,1,0.27592,0.00146896,0.00146896,0.00146896
14,81.3248,0.17067,0.96552,1,0.09875,0.00145246,0.00145246,0.00145246
15,84.8858,0.30258,0.96552,1,0.08658,0.00143595,0.00143595,0.00143595
16,88.6069,0.15849,0.96552,1,0.0563,0.00141945,0.00141945,0.00141945
17,92.2804,0.18567,0.98276,1,0.13146,0.00140295,0.00140295,0.00140295
18,95.932,0.11622,0.98276,1,0.05611,0.00138644,0.00138644,0.00138644
19,99.5452,0.08434,0.98276,1,0.02463,0.00136994,0.00136994,0.00136994
20,103.227,0.17077,1,1,0.00891,0.00135344,0.00135344,0.00135344
21,106.98,0.10046,0.98276,1,0.04287,0.00133693,0.00133693,0.00133693
22,110.698,0.06776,0.98276,1,0.01839,0.00132043,0.00132043,0.00132043
23,114.46,0.14617,0.98276,1,0.0295,0.00130393,0.00130393,0.00130393
24,118.239,0.08334,1,1,0.01817,0.00128742,0.00128742,0.00128742
25,122.522,0.0501,0.98276,1,0.04685,0.00127092,0.00127092,0.00127092
26,126.379,0.09894,0.98276,1,0.04692,0.00125442,0.00125442,0.00125442
27,130.215,0.09252,0.96552,1,0.07911,0.00123791,0.00123791,0.00123791
28,134.168,0.07821,0.96552,1,0.05792,0.00122141,0.00122141,0.00122141
29,138.146,0.05819,0.98276,1,0.03243,0.00120491,0.00120491,0.00120491
30,142.234,0.12151,1,1,0.0066,0.0011884,0.0011884,0.0011884
31,146.168,0.18511,0.96552,1,0.14398,0.0011719,0.0011719,0.0011719
32,150.339,0.09131,0.98276,1,0.14294,0.0011554,0.0011554,0.0011554
33,154.583,0.06823,0.98276,1,0.05022,0.00113889,0.00113889,0.00113889
34,158.617,0.05924,1,1,0.01584,0.00112239,0.00112239,0.00112239
35,162.386,0.09271,1,1,0.00757,0.00110589,0.00110589,0.00110589
36,166.315,0.10333,1,1,0.00929,0.00108938,0.00108938,0.00108938
37,170.437,0.06419,0.98276,1,0.02447,0.00107288,0.00107288,0.00107288
38,174.588,0.07172,0.98276,1,0.0555,0.00105638,0.00105638,0.00105638
39,178.628,0.06901,1,1,0.01184,0.00103987,0.00103987,0.00103987
40,182.322,0.0622,1,1,0.00604,0.00102337,0.00102337,0.00102337
41,186.011,0.05677,1,1,0.00938,0.00100687,0.00100687,0.00100687
42,189.765,0.03429,0.98276,1,0.03578,0.000990365,0.000990365,0.000990365
43,193.383,0.02878,0.98276,1,0.07309,0.000973861,0.000973861,0.000973861
44,197.046,0.03266,0.98276,1,0.08031,0.000957358,0.000957358,0.000957358
45,200.896,0.0473,0.94828,1,0.14447,0.000940855,0.000940855,0.000940855
46,205.099,0.06999,0.96552,1,0.23819,0.000924352,0.000924352,0.000924352
47,209.08,0.03419,0.96552,1,0.16498,0.000907848,0.000907848,0.000907848
48,212.954,0.06814,0.98276,1,0.02779,0.000891345,0.000891345,0.000891345
49,216.898,0.04217,1,1,0.00679,0.000874842,0.000874842,0.000874842
50,221.021,0.0373,1,1,0.00912,0.000858338,0.000858338,0.000858338
51,224.946,0.03972,0.98276,1,0.01524,0.000841835,0.000841835,0.000841835
52,229.11,0.03821,0.96552,1,0.03082,0.000825332,0.000825332,0.000825332
53,233.109,0.0483,0.98276,1,0.03667,0.000808828,0.000808828,0.000808828
54,237.163,0.01589,0.96552,1,0.08628,0.000792325,0.000792325,0.000792325
55,240.997,0.02656,0.98276,1,0.09529,0.000775822,0.000775822,0.000775822
56,244.692,0.02919,0.96552,1,0.08337,0.000759318,0.000759318,0.000759318
57,248.479,0.03608,0.96552,1,0.04689,0.000742815,0.000742815,0.000742815
58,252.624,0.03645,0.98276,1,0.02814,0.000726312,0.000726312,0.000726312
59,257.759,0.0187,0.98276,1,0.01919,0.000709809,0.000709809,0.000709809
60,262.221,0.03712,0.98276,1,0.03296,0.000693305,0.000693305,0.000693305
61,266.415,0.0219,0.98276,1,0.0334,0.000676802,0.000676802,0.000676802
62,270.501,0.02431,0.96552,1,0.04585,0.000660299,0.000660299,0.000660299
63,275.18,0.03155,0.96552,1,0.07463,0.000643795,0.000643795,0.000643795
64,279.694,0.0312,0.96552,1,0.08254,0.000627292,0.000627292,0.000627292
65,283.709,0.01512,0.96552,1,0.10458,0.000610789,0.000610789,0.000610789
66,287.653,0.02434,0.96552,1,0.09931,0.000594286,0.000594286,0.000594286
67,291.423,0.0228,0.96552,1,0.06909,0.000577782,0.000577782,0.000577782
68,295.316,0.01709,0.98276,1,0.03266,0.000561279,0.000561279,0.000561279
69,299.254,0.01737,1,1,0.01421,0.000544776,0.000544776,0.000544776
70,303.23,0.0204,1,1,0.00962,0.000528272,0.000528272,0.000528272
71,307.094,0.01222,1,1,0.00896,0.000511769,0.000511769,0.000511769
72,311.425,0.02045,1,1,0.00832,0.000495266,0.000495266,0.000495266
73,316.189,0.01148,1,1,0.00883,0.000478762,0.000478762,0.000478762
74,320.523,0.02698,1,1,0.00936,0.000462259,0.000462259,0.000462259
75,324.669,0.04964,0.98276,1,0.04405,0.000445756,0.000445756,0.000445756
76,328.85,0.02373,0.98276,1,0.02543,0.000429253,0.000429253,0.000429253
77,332.579,0.01859,1,1,0.01183,0.000412749,0.000412749,0.000412749
78,336.282,0.03938,1,1,0.00227,0.000396246,0.000396246,0.000396246
79,339.893,0.02691,1,1,0.00154,0.000379743,0.000379743,0.000379743
80,343.588,0.03554,1,1,0.00173,0.000363239,0.000363239,0.000363239
81,347.191,0.02632,1,1,0.00209,0.000346736,0.000346736,0.000346736
82,350.965,0.01428,1,1,0.00744,0.000330233,0.000330233,0.000330233
83,354.598,0.036,1,1,0.01115,0.000313729,0.000313729,0.000313729
84,358.347,0.05585,1,1,0.01363,0.000297226,0.000297226,0.000297226
85,361.951,0.0168,1,1,0.01447,0.000280723,0.000280723,0.000280723
86,365.725,0.00994,0.98276,1,0.01672,0.00026422,0.00026422,0.00026422
87,369.304,0.01075,1,1,0.01157,0.000247716,0.000247716,0.000247716
88,373.035,0.04899,1,1,0.00484,0.000231213,0.000231213,0.000231213
89,376.904,0.01823,1,1,0.00446,0.00021471,0.00021471,0.00021471
